Issue_ID,Business_Unit,Issue_Type,Risk_Level,Date_Opened,Days_Open,SLA_Limit,SLA_Status,Remediation_Status
ISSUE-97943,Corporate Banking,Transaction Monitoring,High,2026-06-19,18,15,Breached,Closed
ISSUE-96343,Corporate Banking,KYC,Medium,2026-08-12,14,30,On-Track,Closed
ISSUE-14591,Corporate Banking,AML,Medium,2026-06-01,82,30,Breached,In Progress
ISSUE-27001,Investment Banking,Fraud,Medium,2026-06-08,28,30,On-Track,Closed
ISSUE-62731,Retail Banking,Sanctions,Low,2026-08-03,19,60,On-Track,In Progress
ISSUE-56360,Investment Banking,Fraud,Medium,2026-06-14,32,30,Breached,Closed
ISSUE-76724,Investment Banking,Sanctions,Low,2026-07-06,47,60,On-Track,In Progress
ISSUE-57949,Corporate Banking,Fraud,Low,2026-05-29,85,60,Breached,Open
ISSUE-95807,Investment Banking,Sanctions,Low,2026-08-03,19,60,On-Track,Open
ISSUE-63454,Wealth Management,Transaction Monitoring,Medium,2026-08-12,10,30,On-Track,Open
ISSUE-64088,Retail Banking,KYC,Medium,2026-07-08,45,30,Breached,Open
ISSUE-62018,Wealth Management,KYC,Medium,2026-04-27,31,30,Breached,Closed
ISSUE-15860,Corporate Banking,KYC,Medium,2026-08-14,26,30,On-Track,Closed
ISSUE-70343,Retail Banking,Transaction Monitoring,High,2026-05-04,110,15,Breached,Open
ISSUE-41293,Investment Banking,Transaction Monitoring,High,2026-08-12,19,15,Breached,Closed
ISSUE-75271,Corporate Banking,Transaction Monitoring,Medium,2026-04-29,115,30,Breached,In Progress
ISSUE-31506,Wealth Management,KYC,Low,2026-06-14,69,60,Breached,Open
ISSUE-54111,Corporate Banking,KYC,High,2026-08-13,9,15,On-Track,In Progress
ISSUE-50306,Investment Banking,AML,Low,2026-07-25,28,60,On-Track,Open
ISSUE-24228,Corporate Banking,KYC,Medium,2026-05-20,94,30,Breached,In Progress
ISSUE-34606,Wealth Management,Sanctions,High,2026-07-01,52,15,Breached,Open
ISSUE-61494,Wealth Management,KYC,Medium,2026-06-25,58,30,Breached,In Progress
ISSUE-82850,Investment Banking,Fraud,Low,2026-07-23,14,60,On-Track,Closed
ISSUE-83128,Retail Banking,KYC,Low,2026-08-10,54,60,On-Track,Closed
ISSUE-80360,Credit Cards,Sanctions,Medium,2026-07-23,18,30,On-Track,Closed
ISSUE-71475,Wealth Management,AML,Low,2026-04-26,118,60,Breached,In Progress
ISSUE-23561,Credit Cards,Fraud,Medium,2026-05-13,101,30,Breached,In Progress
ISSUE-55713,Wealth Management,Transaction Monitoring,Medium,2026-06-07,76,30,Breached,In Progress
ISSUE-25334,Credit Cards,AML,Low,2026-07-09,55,60,On-Track,Closed
ISSUE-26515,Corporate Banking,KYC,Low,2026-05-04,44,60,On-Track,Closed
ISSUE-25579,Corporate Banking,Transaction Monitoring,Medium,2026-07-22,31,30,Breached,Open
ISSUE-68955,Investment Banking,AML,High,2026-05-30,17,15,Breached,Closed
ISSUE-87967,Retail Banking,Fraud,Medium,2026-05-13,101,30,Breached,In Progress
ISSUE-57786,Wealth Management,Fraud,Medium,2026-05-28,86,30,Breached,In Progress
ISSUE-62591,Wealth Management,Transaction Monitoring,Low,2026-05-19,95,60,Breached,In Progress
ISSUE-15361,Corporate Banking,AML,High,2026-08-03,19,15,Breached,Open
ISSUE-85171,Wealth Management,Fraud,Low,2026-08-13,9,60,On-Track,In Progress
ISSUE-17806,Wealth Management,AML,High,2026-05-09,105,15,Breached,In Progress
ISSUE-23077,Wealth Management,AML,Low,2026-07-03,50,60,On-Track,In Progress
ISSUE-79654,Corporate Banking,AML,Medium,2026-05-30,33,30,Breached,Closed
ISSUE-27083,Retail Banking,AML,Medium,2026-06-24,59,30,Breached,In Progress
ISSUE-42115,Corporate Banking,AML,Medium,2026-05-05,109,30,Breached,In Progress
ISSUE-39639,Wealth Management,Fraud,Low,2026-06-28,55,60,On-Track,Open
ISSUE-25558,Corporate Banking,Sanctions,High,2026-08-20,2,15,On-Track,In Progress
ISSUE-87949,Wealth Management,Transaction Monitoring,Medium,2026-06-16,67,30,Breached,In Progress
ISSUE-72864,Corporate Banking,Fraud,Low,2026-06-01,82,60,Breached,In Progress
ISSUE-84605,Investment Banking,Sanctions,Medium,2026-05-13,101,30,Breached,In Progress
ISSUE-47732,Credit Cards,KYC,High,2026-08-05,17,15,Breached,In Progress
ISSUE-99030,Investment Banking,Transaction Monitoring,Medium,2026-08-14,8,30,On-Track,In Progress
ISSUE-95811,Wealth Management,KYC,Medium,2026-08-10,12,30,On-Track,Open
ISSUE-44584,Credit Cards,Transaction Monitoring,Low,2026-06-18,65,60,Breached,Open
ISSUE-51320,Credit Cards,Sanctions,Medium,2026-06-05,78,30,Breached,In Progress
ISSUE-63997,Investment Banking,AML,Low,2026-07-12,41,60,On-Track,In Progress
ISSUE-18240,Corporate Banking,KYC,High,2026-06-02,6,15,On-Track,Closed
ISSUE-87200,Credit Cards,Transaction Monitoring,High,2026-05-31,83,15,Breached,In Progress
ISSUE-90949,Wealth Management,Fraud,Low,2026-06-28,55,60,On-Track,Open
ISSUE-43987,Credit Cards,Transaction Monitoring,High,2026-07-28,25,15,Breached,Open
ISSUE-39264,Wealth Management,KYC,High,2026-05-20,94,15,Breached,In Progress
ISSUE-14692,Credit Cards,Fraud,High,2026-07-04,49,15,Breached,Open
ISSUE-93896,Wealth Management,Sanctions,High,2026-07-15,14,15,On-Track,Closed
ISSUE-92266,Investment Banking,Fraud,High,2026-07-08,45,15,Breached,In Progress
ISSUE-25764,Corporate Banking,KYC,Medium,2026-08-20,2,30,On-Track,Open
ISSUE-71805,Retail Banking,KYC,Medium,2026-08-09,13,30,On-Track,In Progress
ISSUE-29409,Investment Banking,Transaction Monitoring,Medium,2026-07-13,3,30,On-Track,Closed
ISSUE-50787,Investment Banking,AML,Medium,2026-06-22,61,30,Breached,In Progress
ISSUE-42259,Wealth Management,Sanctions,High,2026-06-27,56,15,Breached,In Progress
ISSUE-32605,Credit Cards,Transaction Monitoring,Low,2026-06-13,42,60,On-Track,Closed
ISSUE-71246,Retail Banking,Transaction Monitoring,Medium,2026-08-13,9,30,On-Track,In Progress
ISSUE-83327,Wealth Management,Fraud,Medium,2026-07-27,26,30,On-Track,In Progress
ISSUE-87598,Investment Banking,Sanctions,Medium,2026-06-22,61,30,Breached,In Progress
ISSUE-17672,Corporate Banking,AML,Medium,2026-04-25,19,30,On-Track,Closed
ISSUE-46316,Wealth Management,AML,Medium,2026-05-25,32,30,Breached,Closed
ISSUE-23648,Credit Cards,AML,Medium,2026-07-15,38,30,Breached,Open
ISSUE-24731,Investment Banking,Sanctions,Low,2026-07-24,29,60,On-Track,In Progress
ISSUE-34052,Credit Cards,Sanctions,Medium,2026-05-05,22,30,On-Track,Closed
ISSUE-16680,Corporate Banking,KYC,High,2026-05-23,91,15,Breached,Open
ISSUE-49065,Wealth Management,Fraud,High,2026-05-20,94,15,Breached,Open
ISSUE-64999,Retail Banking,Fraud,High,2026-06-16,67,15,Breached,Open
ISSUE-75577,Wealth Management,AML,Low,2026-06-28,55,60,On-Track,In Progress
ISSUE-57169,Credit Cards,Transaction Monitoring,High,2026-05-17,97,15,Breached,In Progress
ISSUE-90418,Corporate Banking,AML,High,2026-08-15,7,15,On-Track,Open
ISSUE-32109,Investment Banking,KYC,High,2026-08-18,4,15,On-Track,In Progress
ISSUE-29285,Credit Cards,AML,High,2026-07-09,44,15,Breached,Open
ISSUE-56288,Wealth Management,Sanctions,Medium,2026-06-22,61,30,Breached,Open
ISSUE-26030,Wealth Management,Fraud,High,2026-04-24,120,15,Breached,In Progress
ISSUE-25760,Corporate Banking,Fraud,Low,2026-06-22,61,60,Breached,In Progress
ISSUE-23824,Wealth Management,KYC,Low,2026-05-19,95,60,Breached,In Progress
ISSUE-38558,Wealth Management,Sanctions,High,2026-04-24,120,15,Breached,Open
ISSUE-80308,Corporate Banking,KYC,Medium,2026-06-06,77,30,Breached,Open
ISSUE-69266,Credit Cards,Sanctions,Medium,2026-07-08,45,30,Breached,Open
ISSUE-13345,Wealth Management,Fraud,Medium,2026-07-25,28,30,On-Track,In Progress
ISSUE-15797,Wealth Management,Transaction Monitoring,Medium,2026-08-06,16,30,On-Track,Open
ISSUE-58901,Credit Cards,AML,Low,2026-05-08,106,60,Breached,Open
ISSUE-70587,Wealth Management,AML,Medium,2026-07-27,26,30,On-Track,Open
ISSUE-84145,Credit Cards,Sanctions,Low,2026-06-16,67,60,Breached,In Progress
ISSUE-22204,Corporate Banking,Fraud,High,2026-05-25,8,15,On-Track,Closed
ISSUE-81381,Investment Banking,AML,Medium,2026-04-30,114,30,Breached,Open
ISSUE-59767,Retail Banking,KYC,High,2026-07-19,5,15,On-Track,Closed
ISSUE-84645,Corporate Banking,Fraud,Low,2026-07-10,45,60,On-Track,Closed
ISSUE-39675,Investment Banking,KYC,Low,2026-06-11,72,60,Breached,Open
ISSUE-94764,Investment Banking,Transaction Monitoring,Low,2026-06-25,58,60,On-Track,Open
ISSUE-36403,Credit Cards,Transaction Monitoring,High,2026-07-11,42,15,Breached,Open
ISSUE-76475,Credit Cards,KYC,Low,2026-07-31,22,60,On-Track,In Progress
ISSUE-96115,Investment Banking,Sanctions,Medium,2026-05-25,89,30,Breached,Open
ISSUE-50708,Retail Banking,Fraud,Low,2026-05-19,95,60,Breached,Open
ISSUE-73408,Wealth Management,Fraud,Medium,2026-06-03,17,30,On-Track,Closed
ISSUE-91974,Retail Banking,Fraud,High,2026-05-17,97,15,Breached,In Progress
ISSUE-28920,Investment Banking,Sanctions,High,2026-06-08,13,15,On-Track,Closed
ISSUE-48628,Wealth Management,AML,Low,2026-07-09,44,60,On-Track,In Progress
ISSUE-91686,Credit Cards,Transaction Monitoring,Medium,2026-06-21,62,30,Breached,Open
ISSUE-84325,Wealth Management,Sanctions,Low,2026-06-25,58,60,On-Track,In Progress
ISSUE-88969,Credit Cards,AML,Medium,2026-07-08,34,30,Breached,Closed
ISSUE-63539,Investment Banking,Transaction Monitoring,Low,2026-08-21,45,60,On-Track,Closed
ISSUE-68845,Corporate Banking,KYC,High,2026-08-18,4,15,On-Track,Open
ISSUE-15304,Corporate Banking,AML,Medium,2026-08-14,8,30,On-Track,Open
ISSUE-99783,Corporate Banking,Sanctions,Medium,2026-05-22,1,30,On-Track,Closed
ISSUE-90799,Retail Banking,KYC,High,2026-08-14,20,15,Breached,Closed
ISSUE-65068,Investment Banking,Fraud,High,2026-07-01,52,15,Breached,Open
ISSUE-80106,Corporate Banking,AML,Medium,2026-07-03,9,30,On-Track,Closed
ISSUE-99860,Retail Banking,Sanctions,Low,2026-07-05,44,60,On-Track,Closed
ISSUE-57126,Wealth Management,Fraud,Low,2026-08-01,21,60,On-Track,In Progress
ISSUE-97857,Retail Banking,Transaction Monitoring,High,2026-07-06,47,15,Breached,In Progress
ISSUE-33770,Investment Banking,Transaction Monitoring,Medium,2026-06-17,66,30,Breached,In Progress
ISSUE-75206,Credit Cards,Fraud,High,2026-05-20,6,15,On-Track,Closed
ISSUE-24881,Retail Banking,Sanctions,High,2026-07-08,13,15,On-Track,Closed
ISSUE-76240,Wealth Management,Transaction Monitoring,High,2026-07-28,25,15,Breached,Open
ISSUE-92361,Wealth Management,Fraud,Low,2026-06-10,73,60,Breached,Open
ISSUE-55269,Investment Banking,AML,Medium,2026-08-08,14,30,On-Track,In Progress
ISSUE-29829,Credit Cards,Transaction Monitoring,Low,2026-06-24,20,60,On-Track,Closed
ISSUE-96518,Retail Banking,KYC,Medium,2026-05-07,107,30,Breached,Open
ISSUE-54027,Wealth Management,AML,Low,2026-05-26,88,60,Breached,In Progress
ISSUE-60687,Credit Cards,AML,High,2026-08-17,18,15,Breached,Closed
ISSUE-29580,Retail Banking,Sanctions,Low,2026-05-11,16,60,On-Track,Closed
ISSUE-87277,Wealth Management,KYC,High,2026-07-19,34,15,Breached,Open
ISSUE-12049,Investment Banking,Transaction Monitoring,Low,2026-05-01,113,60,Breached,Open
ISSUE-69351,Retail Banking,Transaction Monitoring,Medium,2026-08-04,18,30,On-Track,In Progress
ISSUE-93496,Credit Cards,AML,High,2026-06-29,4,15,On-Track,Closed
ISSUE-85358,Investment Banking,KYC,High,2026-08-03,19,15,Breached,Open
ISSUE-17589,Retail Banking,Fraud,Medium,2026-05-15,99,30,Breached,In Progress
ISSUE-16894,Corporate Banking,Transaction Monitoring,Low,2026-07-16,37,60,On-Track,Open
ISSUE-20709,Corporate Banking,KYC,Medium,2026-05-17,97,30,Breached,Open
ISSUE-50187,Wealth Management,Sanctions,Medium,2026-07-22,10,30,On-Track,Closed
ISSUE-78203,Wealth Management,Transaction Monitoring,High,2026-08-12,10,15,On-Track,Open
ISSUE-42057,Credit Cards,Fraud,Low,2026-08-16,6,60,On-Track,Open
ISSUE-74890,Investment Banking,Sanctions,Low,2026-05-30,84,60,Breached,In Progress
ISSUE-26202,Retail Banking,Sanctions,High,2026-05-02,112,15,Breached,In Progress
ISSUE-52706,Retail Banking,KYC,Low,2026-05-29,85,60,Breached,Open
ISSUE-99968,Corporate Banking,Sanctions,High,2026-06-14,69,15,Breached,Open
ISSUE-79368,Corporate Banking,Fraud,Medium,2026-05-14,2,30,On-Track,Closed
ISSUE-49438,Corporate Banking,Sanctions,Low,2026-07-17,36,60,On-Track,In Progress
ISSUE-91115,Wealth Management,AML,Medium,2026-08-06,3,30,On-Track,Closed
ISSUE-81577,Retail Banking,Fraud,Low,2026-06-08,75,60,Breached,In Progress
ISSUE-50088,Investment Banking,AML,High,2026-08-05,10,15,On-Track,Closed
ISSUE-55458,Investment Banking,AML,Low,2026-06-12,71,60,Breached,In Progress
ISSUE-26872,Retail Banking,AML,Medium,2026-07-02,51,30,Breached,In Progress
ISSUE-30470,Credit Cards,Transaction Monitoring,Low,2026-06-26,57,60,On-Track,In Progress
ISSUE-28411,Wealth Management,AML,Low,2026-04-26,118,60,Breached,In Progress
ISSUE-89514,Credit Cards,Fraud,Medium,2026-05-16,18,30,On-Track,Closed
ISSUE-60760,Investment Banking,KYC,Medium,2026-07-26,27,30,On-Track,Open
ISSUE-43278,Wealth Management,KYC,High,2026-08-10,12,15,On-Track,Open
ISSUE-82863,Retail Banking,Fraud,Medium,2026-05-06,108,30,Breached,Open
ISSUE-42804,Corporate Banking,KYC,Medium,2026-07-15,38,30,Breached,In Progress
ISSUE-65552,Retail Banking,Transaction Monitoring,High,2026-07-09,44,15,Breached,Open
ISSUE-58444,Investment Banking,Fraud,High,2026-07-29,9,15,On-Track,Closed
ISSUE-53334,Investment Banking,AML,High,2026-07-13,40,15,Breached,In Progress
ISSUE-16332,Wealth Management,Fraud,Low,2026-08-05,10,60,On-Track,Closed
ISSUE-34193,Investment Banking,KYC,Medium,2026-04-24,120,30,Breached,In Progress
ISSUE-51679,Corporate Banking,AML,High,2026-08-02,20,15,Breached,Open
ISSUE-92382,Wealth Management,KYC,High,2026-05-27,8,15,On-Track,Closed
ISSUE-72736,Investment Banking,Transaction Monitoring,Low,2026-08-14,8,60,On-Track,Open
ISSUE-40206,Credit Cards,Sanctions,High,2026-04-26,1,15,On-Track,Closed
ISSUE-99236,Credit Cards,Sanctions,High,2026-06-15,68,15,Breached,In Progress
ISSUE-75172,Retail Banking,Fraud,Low,2026-06-09,74,60,Breached,In Progress
ISSUE-46206,Investment Banking,Sanctions,Low,2026-05-23,91,60,Breached,In Progress
ISSUE-61614,Retail Banking,Sanctions,Low,2026-07-21,32,60,On-Track,In Progress
ISSUE-80574,Investment Banking,Fraud,Low,2026-06-18,46,60,On-Track,Closed
ISSUE-61939,Retail Banking,Fraud,Low,2026-05-06,108,60,Breached,Open
ISSUE-54512,Corporate Banking,Sanctions,Medium,2026-07-06,47,30,Breached,In Progress
ISSUE-29646,Investment Banking,Fraud,High,2026-07-07,17,15,Breached,Closed
ISSUE-35208,Retail Banking,Fraud,High,2026-08-17,4,15,On-Track,Closed
ISSUE-95874,Investment Banking,AML,High,2026-05-28,20,15,Breached,Closed
ISSUE-78085,Corporate Banking,Sanctions,High,2026-06-29,54,15,Breached,In Progress
ISSUE-98759,Corporate Banking,Transaction Monitoring,Low,2026-08-07,15,60,On-Track,In Progress
ISSUE-13410,Credit Cards,AML,Low,2026-07-01,52,60,On-Track,In Progress
ISSUE-66792,Retail Banking,Sanctions,Medium,2026-07-13,11,30,On-Track,Closed
ISSUE-84251,Corporate Banking,Transaction Monitoring,Medium,2026-08-11,4,30,On-Track,Closed
ISSUE-37435,Wealth Management,Transaction Monitoring,Low,2026-08-13,9,60,On-Track,Open
ISSUE-71926,Investment Banking,AML,High,2026-05-25,89,15,Breached,Open
ISSUE-98256,Retail Banking,Fraud,High,2026-06-27,56,15,Breached,In Progress
ISSUE-69226,Retail Banking,Fraud,Low,2026-05-24,44,60,On-Track,Closed
ISSUE-28217,Investment Banking,Fraud,Low,2026-06-13,70,60,Breached,Open
ISSUE-27200,Credit Cards,Transaction Monitoring,Low,2026-07-26,27,60,On-Track,Open
ISSUE-27236,Corporate Banking,Transaction Monitoring,Low,2026-05-12,102,60,Breached,Open
ISSUE-93206,Corporate Banking,Sanctions,Medium,2026-08-13,9,30,On-Track,Open
ISSUE-87224,Investment Banking,Fraud,Low,2026-05-14,37,60,On-Track,Closed
ISSUE-70540,Investment Banking,Sanctions,Low,2026-06-29,7,60,On-Track,Closed
ISSUE-37347,Retail Banking,Sanctions,High,2026-06-23,60,15,Breached,In Progress
ISSUE-24322,Retail Banking,Transaction Monitoring,Low,2026-04-25,119,60,Breached,In Progress
ISSUE-75377,Credit Cards,Fraud,High,2026-04-25,119,15,Breached,Open
ISSUE-35466,Retail Banking,KYC,Medium,2026-06-10,14,30,On-Track,Closed
ISSUE-24123,Credit Cards,Sanctions,Low,2026-05-08,106,60,Breached,Open
ISSUE-55596,Retail Banking,KYC,Low,2026-06-03,80,60,Breached,Open
ISSUE-93926,Retail Banking,Fraud,Low,2026-06-03,4,60,On-Track,Closed
ISSUE-92192,Retail Banking,KYC,High,2026-07-28,25,15,Breached,Open
ISSUE-33017,Investment Banking,Fraud,Medium,2026-08-10,12,30,On-Track,Open
ISSUE-25620,Credit Cards,Sanctions,Low,2026-05-30,64,60,Breached,Closed
ISSUE-68117,Credit Cards,KYC,Low,2026-06-18,44,60,On-Track,Closed
ISSUE-88008,Investment Banking,Transaction Monitoring,Medium,2026-04-26,20,30,On-Track,Closed
ISSUE-78627,Wealth Management,Fraud,Low,2026-07-19,34,60,On-Track,Open
ISSUE-95440,Corporate Banking,Sanctions,Medium,2026-07-21,32,30,Breached,In Progress
ISSUE-26743,Credit Cards,AML,Medium,2026-07-24,29,30,On-Track,In Progress
ISSUE-91718,Retail Banking,AML,Medium,2026-06-22,27,30,On-Track,Closed
ISSUE-57733,Wealth Management,Sanctions,Medium,2026-06-18,65,30,Breached,In Progress
ISSUE-39005,Wealth Management,Fraud,Low,2026-06-24,24,60,On-Track,Closed
ISSUE-81162,Corporate Banking,AML,Medium,2026-05-17,97,30,Breached,In Progress
ISSUE-40047,Wealth Management,AML,Low,2026-06-14,5,60,On-Track,Closed
ISSUE-70803,Retail Banking,Sanctions,High,2026-06-18,18,15,Breached,Closed
ISSUE-82511,Retail Banking,Sanctions,High,2026-07-15,13,15,On-Track,Closed
ISSUE-22458,Wealth Management,Transaction Monitoring,Medium,2026-04-29,115,30,Breached,Open
ISSUE-25608,Credit Cards,AML,Medium,2026-07-03,50,30,Breached,Open
ISSUE-83063,Wealth Management,AML,High,2026-06-05,78,15,Breached,In Progress
ISSUE-85248,Investment Banking,Transaction Monitoring,Low,2026-07-23,7,60,On-Track,Closed
ISSUE-25220,Retail Banking,Transaction Monitoring,High,2026-07-22,31,15,Breached,Open
ISSUE-41926,Wealth Management,Sanctions,Medium,2026-05-10,104,30,Breached,Open
ISSUE-61492,Retail Banking,Sanctions,High,2026-05-17,97,15,Breached,In Progress
ISSUE-67166,Investment Banking,Transaction Monitoring,Medium,2026-06-17,66,30,Breached,Open
ISSUE-35505,Retail Banking,Fraud,Medium,2026-06-29,31,30,Breached,Closed
ISSUE-99014,Corporate Banking,Fraud,Medium,2026-08-06,16,30,On-Track,Open
ISSUE-17454,Corporate Banking,Sanctions,Low,2026-05-30,84,60,Breached,In Progress
ISSUE-17513,Investment Banking,Transaction Monitoring,Low,2026-07-08,45,60,On-Track,In Progress
ISSUE-88767,Wealth Management,Sanctions,Medium,2026-05-09,18,30,On-Track,Closed
ISSUE-88854,Investment Banking,KYC,Medium,2026-07-11,42,30,Breached,Open
ISSUE-61994,Wealth Management,Sanctions,Low,2026-07-09,44,60,On-Track,Open
ISSUE-78255,Wealth Management,Fraud,Medium,2026-06-16,67,30,Breached,Open
ISSUE-73824,Credit Cards,Transaction Monitoring,High,2026-06-24,59,15,Breached,Open
ISSUE-48353,Wealth Management,AML,High,2026-07-28,18,15,Breached,Closed
ISSUE-79576,Wealth Management,Sanctions,Medium,2026-05-08,26,30,On-Track,Closed
ISSUE-49316,Retail Banking,KYC,High,2026-08-07,12,15,On-Track,Closed
ISSUE-63453,Wealth Management,Fraud,Low,2026-08-17,5,60,On-Track,In Progress
ISSUE-98422,Corporate Banking,KYC,High,2026-07-17,36,15,Breached,In Progress
ISSUE-92830,Wealth Management,KYC,High,2026-06-13,14,15,On-Track,Closed
ISSUE-73256,Credit Cards,Sanctions,High,2026-06-18,18,15,Breached,Closed
ISSUE-47776,Investment Banking,AML,Low,2026-07-22,31,60,On-Track,In Progress
ISSUE-25362,Wealth Management,Fraud,Medium,2026-05-31,5,30,On-Track,Closed
ISSUE-48174,Corporate Banking,AML,High,2026-05-22,17,15,Breached,Closed
ISSUE-70158,Corporate Banking,Fraud,Low,2026-07-04,49,60,On-Track,Open
ISSUE-69696,Retail Banking,Sanctions,High,2026-06-25,12,15,On-Track,Closed
ISSUE-67125,Retail Banking,KYC,Low,2026-07-29,24,60,On-Track,Open
ISSUE-53278,Investment Banking,Transaction Monitoring,Medium,2026-07-20,33,30,Breached,In Progress
ISSUE-44301,Credit Cards,Transaction Monitoring,High,2026-06-29,54,15,Breached,In Progress
ISSUE-80173,Wealth Management,AML,Medium,2026-07-31,22,30,On-Track,In Progress
ISSUE-15585,Wealth Management,KYC,High,2026-07-01,52,15,Breached,In Progress
ISSUE-94101,Retail Banking,AML,High,2026-07-29,24,15,Breached,In Progress
ISSUE-80191,Investment Banking,Fraud,High,2026-05-31,83,15,Breached,Open
ISSUE-32895,Retail Banking,KYC,Medium,2026-08-13,9,30,On-Track,In Progress
ISSUE-87603,Retail Banking,Transaction Monitoring,High,2026-06-16,1,15,On-Track,Closed
ISSUE-47816,Retail Banking,KYC,Low,2026-07-28,25,60,On-Track,Open
ISSUE-94301,Credit Cards,AML,High,2026-07-09,44,15,Breached,Open
ISSUE-50859,Investment Banking,KYC,High,2026-06-06,77,15,Breached,In Progress
ISSUE-69747,Credit Cards,Sanctions,High,2026-07-06,47,15,Breached,Open
ISSUE-97003,Corporate Banking,Sanctions,Low,2026-07-21,32,60,On-Track,Open
ISSUE-72433,Wealth Management,KYC,Medium,2026-08-01,25,30,On-Track,Closed
ISSUE-72407,Credit Cards,AML,High,2026-07-10,43,15,Breached,Open
ISSUE-57979,Wealth Management,Fraud,Medium,2026-06-26,19,30,On-Track,Closed
ISSUE-69207,Credit Cards,Transaction Monitoring,High,2026-07-12,10,15,On-Track,Closed
ISSUE-29269,Credit Cards,Fraud,Low,2026-05-23,91,60,Breached,Open
ISSUE-24321,Wealth Management,KYC,Low,2026-07-16,14,60,On-Track,Closed
ISSUE-16127,Credit Cards,KYC,High,2026-08-12,5,15,On-Track,Closed
ISSUE-12885,Credit Cards,Transaction Monitoring,High,2026-05-18,5,15,On-Track,Closed
ISSUE-24257,Investment Banking,Fraud,Medium,2026-08-01,31,30,Breached,Closed
ISSUE-80522,Retail Banking,KYC,Medium,2026-06-16,67,30,Breached,In Progress
ISSUE-34928,Investment Banking,Fraud,Low,2026-05-04,56,60,On-Track,Closed
ISSUE-94830,Credit Cards,KYC,Medium,2026-05-04,2,30,On-Track,Closed
ISSUE-15329,Investment Banking,KYC,Low,2026-05-15,99,60,Breached,Open
ISSUE-79889,Corporate Banking,Fraud,High,2026-07-18,17,15,Breached,Closed
ISSUE-36337,Wealth Management,Transaction Monitoring,Medium,2026-06-02,81,30,Breached,Open
ISSUE-78274,Wealth Management,KYC,High,2026-07-01,19,15,Breached,Closed
ISSUE-12842,Wealth Management,KYC,High,2026-07-08,4,15,On-Track,Closed
ISSUE-20738,Credit Cards,Transaction Monitoring,High,2026-08-04,18,15,Breached,Open
ISSUE-28816,Investment Banking,Fraud,High,2026-07-31,5,15,On-Track,Closed
ISSUE-22027,Wealth Management,KYC,High,2026-05-06,108,15,Breached,Open
ISSUE-92953,Investment Banking,AML,High,2026-05-05,109,15,Breached,Open
ISSUE-66043,Wealth Management,Fraud,High,2026-06-03,10,15,On-Track,Closed
ISSUE-58442,Corporate Banking,AML,Medium,2026-08-09,13,30,On-Track,In Progress
ISSUE-52315,Credit Cards,Transaction Monitoring,Low,2026-07-24,22,60,On-Track,Closed
ISSUE-61658,Corporate Banking,AML,Medium,2026-07-07,10,30,On-Track,Closed
ISSUE-83408,Credit Cards,AML,High,2026-06-24,59,15,Breached,Open
ISSUE-48475,Investment Banking,Transaction Monitoring,Low,2026-05-13,47,60,On-Track,Closed
ISSUE-39029,Retail Banking,KYC,High,2026-08-15,7,15,On-Track,Open
ISSUE-39799,Credit Cards,Transaction Monitoring,High,2026-06-07,76,15,Breached,Open
ISSUE-67169,Credit Cards,AML,High,2026-05-09,15,15,On-Track,Closed
ISSUE-96541,Credit Cards,Sanctions,Low,2026-05-18,96,60,Breached,Open
ISSUE-31141,Investment Banking,Sanctions,Low,2026-07-20,60,60,On-Track,Closed
ISSUE-86146,Credit Cards,Sanctions,High,2026-04-28,116,15,Breached,Open
ISSUE-40958,Wealth Management,AML,Low,2026-05-16,98,60,Breached,Open
ISSUE-22130,Investment Banking,Sanctions,Medium,2026-07-30,32,30,Breached,Closed
ISSUE-29999,Retail Banking,KYC,Medium,2026-06-09,4,30,On-Track,Closed
ISSUE-46300,Wealth Management,AML,High,2026-05-08,106,15,Breached,In Progress
ISSUE-97046,Investment Banking,Transaction Monitoring,Medium,2026-07-01,21,30,On-Track,Closed
ISSUE-62991,Credit Cards,Transaction Monitoring,High,2026-06-23,6,15,On-Track,Closed
ISSUE-41860,Investment Banking,Fraud,Low,2026-05-21,93,60,Breached,Open
ISSUE-47834,Investment Banking,KYC,Medium,2026-06-01,82,30,Breached,In Progress
ISSUE-36749,Retail Banking,Sanctions,Medium,2026-06-11,72,30,Breached,In Progress
ISSUE-23842,Wealth Management,Sanctions,Low,2026-05-08,106,60,Breached,In Progress
ISSUE-51579,Corporate Banking,AML,Medium,2026-06-27,56,30,Breached,Open
ISSUE-57534,Wealth Management,Sanctions,Low,2026-06-28,55,60,On-Track,In Progress
ISSUE-67648,Wealth Management,Fraud,Medium,2026-08-05,30,30,On-Track,Closed
ISSUE-33492,Wealth Management,Fraud,Low,2026-07-31,22,60,On-Track,Open
ISSUE-44029,Corporate Banking,KYC,Medium,2026-08-13,21,30,On-Track,Closed
ISSUE-20016,Retail Banking,Sanctions,High,2026-07-31,22,15,Breached,Open
ISSUE-63864,Retail Banking,Sanctions,High,2026-08-01,1,15,On-Track,Closed
ISSUE-20974,Retail Banking,AML,Low,2026-07-31,57,60,On-Track,Closed
ISSUE-32366,Retail Banking,KYC,Low,2026-07-08,45,60,On-Track,Open
ISSUE-99893,Credit Cards,Fraud,Medium,2026-05-30,8,30,On-Track,Closed
ISSUE-44001,Wealth Management,AML,Low,2026-05-16,98,60,Breached,In Progress
